Unnamed: 0,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,Pnl,ExitType,SignalType,Date
0,2020-08-03 09:27:00,2020-08-03 12:33:00,NIFTY06AUG2010950CE,119.2,88.9,-75,2272.5,Target hit,VolPattern,2020-08-03
0,2020-08-03 09:20:00,2020-08-03 10:16:00,BANKNIFTY06AUG2021200CE,441.15,472.15,-25,-775.0,SlHit,VolPattern,2020-08-03
1,2020-08-03 10:40:00,2020-08-03 12:59:00,BANKNIFTY06AUG2021200CE,428.05,301.15,-25,3172.500000000001,Target hit,VolPattern,2020-08-03
0,2020-08-03 10:25:00,2020-08-03 10:49:00,NIFTY06AUG2011000PE,113.0,117.95,-75,-371.2500000000002,SlHit,VolPattern,2020-08-03
1,2020-08-03 10:52:00,2020-08-03 12:26:00,NIFTY06AUG2010950PE,88.7,92.8,-75,-307.49999999999955,SlHit,VolPattern,2020-08-03
0,2020-08-03 10:05:00,2020-08-03 12:26:00,BANKNIFTY06AUG2021400PE,376.8,417.45,-25,-1016.2499999999994,SlHit,VolPattern,2020-08-03
0,2020-08-04 11:00:00,2020-08-04 11:22:00,NIFTY06AUG2010950CE,115.15,120.85,-75,-427.4999999999992,SlHit,VolPattern,2020-08-04
0,2020-08-04 09:22:00,2020-08-04 09:51:00,BANKNIFTY06AUG2021100CE,367.95,408.2,-25,-1006.25,SlHit,VolPattern,2020-08-04
0,2020-08-04 09:46:00,2020-08-04 10:32:00,NIFTY06AUG2011000PE,109.65,74.85,-75,2610.000000000001,Target hit,VolPattern,2020-08-04
0,2020-08-04 09:47:00,2020-08-04 11:23:00,BANKNIFTY06AUG2021300PE,339.3,213.1,-25,3155.0000000000005,Target hit,VolPattern,2020-08-04
0,2020-08-05 11:31:00,2020-08-05 11:41:00,NIFTY06AUG2011100CE,114.05,78.45,-75,2669.9999999999995,Target hit,VolPattern,2020-08-05
0,2020-08-05 10:03:00,2020-08-05 10:17:00,BANKNIFTY06AUG2021900CE,220.3,246.55,-25,-656.2500000000007,SlHit,VolPattern,2020-08-05
1,2020-08-05 10:34:00,2020-08-05 10:51:00,BANKNIFTY06AUG2021800CE,264.35,291.4,-25,-676.2500000000002,SlHit,VolPattern,2020-08-05
2,2020-08-05 11:20:00,2020-08-05 11:57:00,BANKNIFTY06AUG2021800CE,272.2,135.0,-25,3429.9999999999995,Target hit,VolPattern,2020-08-05
0,2020-08-05 09:27:00,2020-08-05 11:31:00,NIFTY06AUG2011200PE,68.55,78.4,-75,-738.7500000000007,SlHit,VolPattern,2020-08-05
0,2020-08-05 09:24:00,2020-08-05 11:57:00,BANKNIFTY06AUG2021800PE,252.0,288.1,-25,-902.5000000000006,SlHit,VolPattern,2020-08-05
0,2020-08-06 10:46:00,2020-08-06 11:31:00,NIFTY06AUG2011100CE,81.9,95.95,-75,-1053.7499999999998,SlHit,VolPattern,2020-08-06
1,2020-08-06 11:45:00,2020-08-06 11:57:00,NIFTY06AUG2011100CE,87.9,92.45,-75,-341.2499999999998,SlHit,VolPattern,2020-08-06
0,2020-08-06 10:03:00,2020-08-06 10:19:00,BANKNIFTY06AUG2021600CE,160.35,184.8,-25,-611.2500000000005,SlHit,VolPattern,2020-08-06
1,2020-08-06 10:44:00,2020-08-06 11:58:00,BANKNIFTY06AUG2021500CE,233.95,265.0,-25,-776.2500000000002,SlHit,VolPattern,2020-08-06
2,2020-08-06 13:30:00,2020-08-06 13:43:00,BANKNIFTY06AUG2021700CE,178.14999999999998,112.2,-25,1648.749999999999,Target hit,VolPattern,2020-08-06
0,2020-08-06 09:35:00,2020-08-06 12:26:00,NIFTY06AUG2011200PE,71.4,24.5,-75,3517.5000000000005,Target hit,VolPattern,2020-08-06
0,2020-08-06 09:22:00,2020-08-06 09:29:00,BANKNIFTY06AUG2021600PE,180.95,212.1,-25,-778.7500000000001,SlHit,VolPattern,2020-08-06
1,2020-08-06 09:37:00,2020-08-06 10:03:00,BANKNIFTY06AUG2021700PE,217.95,261.7,-25,-1093.75,SlHit,VolPattern,2020-08-06
2,2020-08-06 10:19:00,2020-08-06 10:45:00,BANKNIFTY06AUG2021600PE,172.14999999999998,190.05,-25,-447.50000000000085,SlHit,VolPattern,2020-08-06
3,2020-08-06 11:58:00,2020-08-06 12:02:00,BANKNIFTY06AUG2021700PE,222.85,328.25,-25,-2635.0,SlHit,VolPattern,2020-08-06
0,2020-08-07 09:31:00,2020-08-07 09:35:00,NIFTY13AUG2011100CE,139.95,152.9,-75,-971.2500000000013,SlHit,VolPattern,2020-08-07
1,2020-08-07 09:57:00,2020-08-07 10:00:00,NIFTY13AUG2011150CE,127.75,138.0,-75,-768.75,SlHit,VolPattern,2020-08-07
2,2020-08-07 10:41:00,2020-08-07 11:16:00,NIFTY13AUG2011200CE,95.75,105.35,-75,-719.9999999999995,SlHit,VolPattern,2020-08-07
0,2020-08-07 09:19:00,2020-08-07 09:25:00,BANKNIFTY13AUG2021500CE,363.95,385.85,-25,-547.5000000000009,SlHit,VolPattern,2020-08-07
1,2020-08-07 10:15:00,2020-08-07 11:50:00,BANKNIFTY13AUG2021600CE,383.35,404.4,-25,-526.2500000000002,SlHit,VolPattern,2020-08-07
2,2020-08-07 11:56:00,2020-08-07 11:58:00,BANKNIFTY13AUG2021600CE,375.6,392.65,-25,-426.2500000000003,SlHit,VolPattern,2020-08-07
0,2020-08-07 09:33:00,2020-08-07 11:59:00,NIFTY13AUG2011150PE,108.25,77.5,-75,2306.25,Target hit,VolPattern,2020-08-07
0,2020-08-07 09:25:00,2020-08-07 09:31:00,BANKNIFTY13AUG2021500PE,381.25,410.8,-25,-738.7500000000002,SlHit,VolPattern,2020-08-07
1,2020-08-07 09:39:00,2020-08-07 11:50:00,BANKNIFTY13AUG2021600PE,417.1,331.0,-25,2152.499999999999,Target hit,VolPattern,2020-08-07
0,2020-08-10 10:00:00,2020-08-10 10:04:00,NIFTY13AUG2011250CE,115.9,120.4,-75,-337.5,SlHit,VolPattern,2020-08-10
1,2020-08-10 10:07:00,2020-08-10 11:09:00,NIFTY13AUG2011250CE,113.45,121.45,-75,-600.0,SlHit,VolPattern,2020-08-10
2,2020-08-10 11:44:00,2020-08-10 15:14:00,NIFTY13AUG2011300CE,94.7,71.9,-75,1709.9999999999998,,VolPattern,2020-08-10
0,2020-08-10 09:55:00,2020-08-10 15:14:00,BANKNIFTY13AUG2022000CE,327.05,267.4,-25,1491.250000000001,,VolPattern,2020-08-10
0,2020-08-10 09:20:00,2020-08-10 14:11:00,NIFTY13AUG2011350PE,121.95,131.35,-75,-704.9999999999993,SlHit,VolPattern,2020-08-10
1,2020-08-10 14:47:00,2020-08-10 14:49:00,NIFTY13AUG2011300PE,85.2,92.2,-75,-525.0,SlHit,VolPattern,2020-08-10
0,2020-08-10 09:20:00,2020-08-10 14:12:00,BANKNIFTY13AUG2022000PE,347.25,375.25,-25,-700.0,SlHit,VolPattern,2020-08-10
1,2020-08-10 14:23:00,2020-08-10 15:14:00,BANKNIFTY13AUG2021900PE,296.95,287.45,-25,237.5,,VolPattern,2020-08-10
0,2020-08-11 09:52:00,2020-08-11 12:04:00,NIFTY13AUG2011350CE,70.5,45.7,-75,1860.0,Target hit,VolPattern,2020-08-11
0,2020-08-11 10:00:00,2020-08-11 14:31:00,BANKNIFTY13AUG2022100CE,284.25,313.9,-25,-741.2499999999994,SlHit,VolPattern,2020-08-11
0,2020-08-11 09:29:00,2020-08-11 09:52:00,NIFTY13AUG2011400PE,86.95,93.3,-75,-476.2499999999996,SlHit,VolPattern,2020-08-11
1,2020-08-11 10:51:00,2020-08-11 10:52:00,NIFTY13AUG2011400PE,90.05,93.8,-75,-281.25,SlHit,VolPattern,2020-08-11
2,2020-08-11 11:31:00,2020-08-11 12:03:00,NIFTY13AUG2011400PE,104.55,114.0,-75,-708.7500000000002,SlHit,VolPattern,2020-08-11
3,2020-08-11 13:30:00,2020-08-11 15:01:00,NIFTY13AUG2011400PE,88.3,96.7,-75,-630.0000000000005,SlHit,VolPattern,2020-08-11
0,2020-08-11 09:24:00,2020-08-11 09:27:00,BANKNIFTY13AUG2022300PE,301.95,321.25,-25,-482.5000000000003,SlHit,VolPattern,2020-08-11
1,2020-08-11 10:32:00,2020-08-11 10:42:00,BANKNIFTY13AUG2022300PE,305.85,318.4,-25,-313.7500000000003,SlHit,VolPattern,2020-08-11
